hash	message
f10fcae	add to wip
065e737	add 'separator' role to dividers
5299c11	goodbye css naked day!
d6814f3	currently
4a7eba3	move the ampersand to before the third bullet
11bdb6e	make thesis statements also a list
13bb06b	`speak-as` numbers
a639ad0	for 'lately': use ordered list with custom list style
96b913d	add nav to toc
8a16026	add list semantics to things that are lists
b2ef06b	fix missing function
1c97af8	disable theme buttons but add a simple `light dark` rule
037fa3a	missed an inline style
9f37f64	css naked day 2024
5df1d2f	add time elements
dad1a12	fix theming bug
df34256	currently
a28b748	add robots.txt
f9ab43e	update appendix
08d70aa	update appendix
ded17cf	add variable lang attribute
cc281fc	rename 'blog' to 'posts'
90c357f	start collecting webmentions?
fe3a411	add `rel=me` to github link
1d81206	update appendix
336c2fb	add console message :)
37e8b6b	currently
40c56a3	add rss feed (#32)
536833d	[ImgBot] Optimize images (#31)
1b8822a	update appendix
287e6cc	update appendix
80be7e8	update appendix
4b2eeab	update appendix
4ed56a2	wording
52faf9b	add appendix
65ab49a	currently
0727f7a	use built-in syntax highlighting + theme
5cfee30	use more markdown in carry
fae073f	use _data and _includes for thesis statements
830a84f	use _data and _includes for toc
7f89da1	move `<main>` wrapper into layout file
8d10b41	remove leftover `.y` span
3294b68	move `.intro` into `<main>`
7cd5e32	add appearance
b3a0d40	add express
3deffee	maybe don't need the Style E normal font
fee6006	update post description
83f7a88	Merge pull request #30 from kayserifserif/blog
535621d	update post
4bfd45c	update config
6e077cb	update post
4276ea5	update post title
a14b6e4	update post
5e6bbf2	move posts to drafts
126bc6f	use color variable
30fa0e5	update blog page
532fe0a	split out post
451a676	update toc order
bd35174	Merge branch 'main' into blog
e5f19ae	add regex poetry machine
12717b0	update regex-poetry-machine
a6724f8	add 'briefly' to coem page
2ceb6ab	oh, if it's 'system', remove the local storage item
cfb20a6	adjust shadows
9eabf03	no, go back to swap
8a8730c	trying `font-display: optional`
34f7753	tweak color contrast
e399961	only rearrange if window width has changed
6fdbbe2	Merge pull request #28 from kayserifserif/cyanotype-240206
5afa5fc	currently
4e71edc	get theme from `localStorage`
281c05a	replace opacity with color
603d48e	move things around
a8f8efd	make leaders responsive
89973d1	make script available to all pages
4e3d167	add `text-underline-offset`
076ee38	fix header
902e561	move things around
a304070	listen for change in `matchMedia`
03a91b8	tweak selectors
af9928c	use `color-scheme`
514cf7b	dividers?
81d33ba	trying to detect and customize
9368059	fill in some variables in light
25573f2	tweak colors, add text-shadow
1693894	add cyanotype dark theme
25d87bd	[ImgBot] Optimize images (#26)
16609e8	update thesis statements
11481fa	Create CNAME
c995653	Delete CNAME
6f461f0	update thesis statement
0553981	update smallness
bdf6d88	add smallness
6a94408	Merge branch 'main' of github.com:kayserifserif/kayserifserif.place
7d7b2a8	tweak about
3fc1426	thesis statements
cd13e95	Merge branch 'main' into blog
0dfd0c1	add wip section
cfbda54	update regex-poetry-machine
246550e	Merge branch 'main' into blog
9539c1b	update footer
ae0f43c	currently
bd114c7	add mit tech review
e64fad9	remove extra bold weight
e2a2582	tweak html
ce62268	tweak css
efa533b	figure out debounce import
c8bd750	box shadows
5058104	paper rip texture
deeb15a	tweaks to receipt
7eb16a1	aside: thesis statements
03bff70	header and footer
2803b99	try TT2020!
cc1730a	capitalisation
90881fd	currently
fb0075f	currently
f2aa3c3	update regex-poetry-machine
b6cd180	fix fonts
a2a7b46	update regex-poetry-machine
176643e	update every-element-is-an-html
baf451f	add regex poetry machine
8aec427	mark link as down
eb6f6e0	update links
62f25d6	add rivers
10a290d	add stitched-links
46d0e6b	add every-element-is-an-html
921ff22	update carry
04b1c37	currently
8cfe988	update carry
8dfa815	update carry
4f6c58f	sort files into folders
3c75f53	add last updated
e02b874	tweak spacing
8629b54	print styles
22685ec	tweak footer and type
cbc86be	fix index link
1e52ddc	Merge branch 'main' into blog
fc7e20c	currently
734a6ad	update intentions
808b5d5	update index
1af0e96	Merge branch 'index'
98d5199	mobile styles for index
d5f4d2a	Merge branch 'carry'
23f9272	add link to carry
012d332	type
80e11bc	currently
97b92da	currently
b997baf	add Virtual Textual
0240816	currently
d7d3882	add conditional
c80b8fe	font-display: swap and upped failing contrast
8f9e936	carry? with iframes?
cb801cb	add dedication
8578809	update dedications
7024169	currently
7b1e42c	currently
1949312	update footer links
293a4c3	currently
b88d774	copy
a3b0eff	update storehouse-a.info website link!
fa7b4cd	update storehouse-a.info website link!
f0f9127	more posts
f827e45	merge
26dd853	Merge branch 'blog' of github.com:kayserifserif/kayserifserif.place into blog
91def48	remove index
ec3b538	add index to toc
4a35326	tweak
e95dd28	first pass at index
d4e4943	add blog to toc
240be56	rename files and add twitter links
ffa0ea5	tweak blog stuff
f8d9ef3	another post?
294729b	update for new design
54d3007	some posts
885a82f	tweak toc
de3bf11	currently
f4ecabc	currently
b394099	currently
d2115b9	blog?
fa696b1	font fallback
5263fda	currently
f961d80	fix: update resume link
cb326a6	currently
0559e1d	wip for cozy corner
301d629	Merge pull request #25 from kayserifserif/imgbot
703eb20	[ImgBot] Optimize images
e54ca98	feat: update resume
b57534b	feat: add i name this feeling
f2a7b2b	feat: add mastodon link
8fcc61f	currently
a4ae412	currently
50bc169	intentions
939d80f	intentions
11ce2ea	currently
7af2a9e	currently
bfaed1e	Create CNAME
6c6fed4	Delete CNAME
8a16249	edit socials
07949b3	css
3a3ca99	use grid
22e4185	style
5b6f9a6	em dashes
031ddde	appearances
f3153f4	copy
4a8d891	copy
7085399	add intentions
0470a57	liquid
8e3a5ce	update 404
bfcba89	update links
63c7fca	currently
163f030	copy
ef4da14	currently
2cc6328	copy
dd9e22d	currently
a7daaf8	Merge remote-tracking branch 'refs/remotes/origin/main'
0d21663	update links
d042472	Create CNAME
994fb54	add read.cv
f445033	chore: update gems
515afab	content
16bdce4	currently
a375238	Merge pull request #24 from whykatherine/imgbot
cffe1bf	[ImgBot] Optimize images
fb27bdf	first pass at proseplay
98a42e1	update resume
de3615a	currently
f0ae1c4	currently
36f19c4	feat: fragments
58d989e	currently
eea79d2	fix trailing p tag
fdcbf6a	currently
32f5b06	content
523a36c	currently
2ce1d75	currently
33a8951	copy
e7a8a65	copy
2326058	feat: alpine symphony
35314e0	file sizes
b03d9e5	lang=zh line height
424bd6a	copy
9a00bfe	currently
4af2c28	currently
214ff2d	currently
836c5df	fix: broken links
c59a116	chore: add meta image alt text
8786590	feat: add image and edit copy for stitched links
c7a7c9b	copy: currently
c1088a3	copy
e55cdd7	copy
4ea6226	copy
340d9fc	copy
df95b31	copy
72e38fd	copy
5e4191c	feat: update font and link
ebac421	fix: meta tags
816a835	typo
231f2be	feat: merge lists into dedications
80a3252	feat: 404
7ab6f68	copy
89d2085	copy
b3dac0d	feat: add updated resume
c9c48fd	chore: use compressed sass
cfb79b6	copy
52a456d	style: spacing tweaks
