Title,Month,Format,Location,Affiliation,Purpose,Language,Tools,Collaborators,Themes,Link,Description,Portfolio
The Arches of Wonder,06 2010,text,Hong Kong,Primary Years Program,Assignment,English,,,nature,,,
Somewhere Over the Rainbow,11 2010,text,Hong Kong,Primary Years Program,Organisation/event,English,,,"childhood, family",,Illustrated picture book for Kids4Kids.,
Clam of Duty – Modern Labyrinth,05 2012,code,Hong Kong,Primary Years Program,Assignment,English,Scratch,,play,,,
西安,07 2012,video,"Xi'an, Shaanxi, China; Hong Kong",Middle Years Program,For myself,English,Final Cut Pro,,travel,https://youtu.be/NMAWWj3Boms,Travelogue of China Experience Program trip to Xi'an.,
Student Council,2013–17,print,Hong Kong,Middle Years Program,Organisation/event,English,Adobe Illustrator,various,community,,Graphic design for Student Council.,
Lizzie Bennet Diaries,05 2013,code,Hong Kong,Middle Years Program,Assignment,English,HTML/CSS/JS,Lauren Ho,fandom,,"Fan site for Pemberley Digital's ""Lizzie Bennet Diaries"".",
暑書,10 2013,text,"Hong Kong; Shanghai, China",Middle Years Program,Assignment,Chinese (Mandarin),,,family,,,
Pull Time Apart,02 2014,text,Hong Kong,Middle Years Program,For myself,English,,,"fandom, relationships",,,
Scribbles,2014–17,print,Hong Kong,Middle Years Program,Organisation/event,English,Adobe InDesign,various,"literature, visual art",https://issuu.com/scribbles.cis/docs/issue_14_-_character_pages_web,Writing contributions and editorial design for visual and literary arts magazine.,
The Right Chord,05 2014,text,Hong Kong,Middle Years Program,Assignment,English,,,music,,,
Timetables,2014–17,digital,Hong Kong,Middle Years Program,For myself,English,Adobe Illustrator,,organisation,,,
Culmination,10 2014,text,Hong Kong,Middle Years Program,For myself,English,,,relationships,,,
straight on ‘til morning,10 2014,text,Hong Kong,Middle Years Program,For myself,English,,,childhood,,,
Dinner Parties,2014–18,multimedia,"Hong Kong; Vienna, Austria; Prague, Czech Republic; Berlin, Germany",Middle Years Program,For myself,English,"kitchen, camera, Adobe Illustrator",various,food,,,
compulsion,01 2015,text,Hong Kong,Middle Years Program,For myself,English,,,"fandom, relationships",,,
20150201,02 2015,audio,Hong Kong,Middle Years Program,For myself,,piano,,music,,,
20150209,02 2015,audio,Hong Kong,Middle Years Program,For myself,,piano,,music,,,
Mapping My Neighbourhood: Taikoo Shing,03 2015,multimedia,Hong Kong,Middle Years Program,Assignment,English,,,spatial,,,
漂浮,03 2015,text,Hong Kong,Middle Years Program,Assignment,Chinese (Mandarin),,,emotions,,,
20150304,03 2015,audio,Hong Kong,Middle Years Program,For myself,,piano,,music,,,
Perfect A,04 2015,video,Hong Kong,Middle Years Program,Assignment,English,Final Cut Pro,"Dominic Wong, Ambrose Lee, Matthew Yao",music,,A documentary short about music exams. Director.,
Eastern Central Europe,04 2015,video,"Berlin, Germany; Krakow, Poland; Prague, Czech Republic",Middle Years Program,For myself,English,Final Cut Pro,,travel,https://youtu.be/gqdP2pLta_4,Travelogue of school history trip to Eastern/Central Europe.,
Gentrification in Tai Hang,06 2015,print,Hong Kong,Middle Years Program,Assignment,English,Adobe InDesign,Daniel Hsing,spatial,,Research and design for poster on gentrification in a Hong Kong district.,
Thermodynamic Fundamentals & Limitations of Energy Production,06 2015,print,Hong Kong,Middle Years Program,Assignment,English,Adobe InDesign,"Daniel Hsing, Bryan Cheng, Lauren Ho",math/science,,Design for poster on thermodynamics.,
Denial,09 2015,video,Hong Kong,Middle Years Program,Assignment,English,Final Cut Pro,"Daniel Hsing, Kyle Hu, Oswin So",identity,,A film noir short film.,
iDisorder: Detoxing in the Digital Age,09 2015,text,Hong Kong,Middle Years Program,Organisation/event,English,Adobe InDesign,,digital culture,https://issuu.com/cisxiaohua/docs/xhissue12_withoutcropmarks_bleeds/90,"Editorial on digital detoxing, published in Xiao Hua.",
Leaving the Nest: The Transition from Primary to Secondary,10 2015,text,Hong Kong,Middle Years Program,Organisation/event,English,,,"identity, childhood",,Editorial on the transition from Primary to Secondary School.,
20151028,10 2015,audio,Hong Kong,Middle Years Program,For myself,,piano,,music,,,
Home: Where the Heart Is,11 2015,text,Hong Kong,Middle Years Program,Assignment,English,Microsoft Word,,"relationships, family",,,
days like this,11 2015,text,Hong Kong,Middle Years Program,For myself,English,,,"mindfulness, nature",,,
20151207,12 2015,audio,Hong Kong,Middle Years Program,For myself,,piano,,music,,,
By Another Name,12 2015,text,Hong Kong,Middle Years Program,Assignment,English,CeltX,,fantasy,,Screenplay for a Twilight Zone–inspired short film.,
Let’s Eat Grandpa,12 2015,code,Hong Kong,Middle Years Program,Assignment,English,Greenfoot,,"language, play",https://github.com/whykatherine/lets-eat-grandpa,An educational game using literature quotes to help detect grammatical errors.,
First Snow,12 2015,audio,Hong Kong,Middle Years Program,For myself,,piano,,music,,,
20151228,12 2015,audio,Hong Kong,Middle Years Program,For myself,,piano,,music,,,
International Human Rights Day,01 2016,multimedia,Hong Kong,Middle Years Program,Organisation/event,English,"paper, Adobe Illustrator",various,social justice,,Participatory informational graphics for International Human Rights Day.,
signs,01 2016,text,Hong Kong,Middle Years Program,For myself,English,,Georgina Savage,relationships,,,
sCan,02 2016,code,Hong Kong,Middle Years Program,Organisation/event,English,"HTML/CSS/JS, Keynote","Daniel Hsing, Oswin So, Kyle Hu, Flo Wu, Raghav Goyal",sustainability,,Platform to automate trash collection infrastructure in Hong Kong.,
講上海話,03 2016,video,"Shanghai, China; Hong Kong",Middle Years Program,Assignment,Chinese (Shanghainese),Final Cut Pro,Mom,language,,Documentary about Shanghainese language and culture.,
The Passage of Days,04 2016,video,Hong Kong,Middle Years Program,Assignment,English,Adobe Premiere Pro,"Gabriel Lee, Sherman Liu, Sherson Ng",family,https://youtu.be/lS1bdmJabxg,A Soviet montage short film. Cinematographer.,
loveliest,04 2016,text,"Los Angeles, California, USA; Hong Kong",Middle Years Program,For myself,English,,,relationships,,,
"hushed, cacophonous",04 2016,text,Hong Kong,Middle Years Program,For myself,English,,,music,,,
I Went to A Strange Place,04 2016,text,Hong Kong,Middle Years Program,Assignment,English,,,fantasy,,,
CIS Robotics Team,2016–17,print,Hong Kong,Middle Years Program,Organisation/event,English,Adobe InDesign,"Kyle Hu, Oswin So",technology,,Poster presentations for the CIS Robotics Team.,
Gravity,05 2016,video,Hong Kong,Middle Years Program,For a friend,English,Final Cut Pro,Lauren Ho,performance,https://youtu.be/W0q1EKXCrJ4,A dance short film.,
REM,05 2016,video,Hong Kong,Middle Years Program,Assignment,English,Adobe Premiere Pro,"Kyle Hu, Erica Qiu, Sherman Liu",childhood,https://youtu.be/Xb4uFJVp2QM,"An experimental short film about growing up. Editor. Inspired by personal experiences, this experimental film explores the stages of youth, adolescence, and maturity. Through the use of symbolic imagery and constructed sound, the film examines how identity is shaped and transformed throughout life.",
Savvy Civics,05 2016,code,Hong Kong,Middle Years Program,Assignment,English,HTML/CSS/JS,"Adam Guo, various",social justice,https://savvycivics.surge.sh/,An informational resource to learn about the political and governmental structure of countries.,
Havisham,06 2016,multimedia,Hong Kong,Middle Years Program,Assignment,English,"brush pen, Adobe Illustrator",Karis Tao,literature,,Silhouette portrait and lettering inspired by Miss Havisham of Great Expectations.,
dreaming of castles in the air,06 2016,text,Hong Kong,Middle Years Program,For myself,English,,,relationships,,,
SGLI,08 2016,video,"Honolulu, Hawaii, USA",Middle Years Program,For myself,English,Adobe Premiere Pro,,travel,https://youtu.be/em60jVrxqN8,Travelogue of summer academic program in Hawaii.,
20160820,08 2016,audio,Hong Kong,Middle Years Program,For myself,,piano,,music,,,
Senior Student Council,2016–18,print,Hong Kong,International Baccalaureate,Organisation/event,English,"Adobe Illustrator, Adobe InDesign","Adam Guo, Kerry Hsu, various",community,,Graphic design for Senior Student Council.,
Zioso,09 2016,print,Hong Kong,International Baccalaureate,For a friend,English,Adobe Illustrator,Kerry Hsu,food,,Branding for student charity pop-up restaurant.,
Mongolia,09 2016,video,"Ulaanbaatar, Mongolia",International Baccalaureate,For myself,English,Adobe Premiere Pro,,travel,https://youtu.be/Qbspz0yEZps,Travelogue of Service and Action Week trip to Mongolia.,
Typography,10 2016,text,Hong Kong,International Baccalaureate,Organisation/event,English,,,visual art,https://issuu.com/cisxiaohua/docs/xiao_hua_15_-_finalfinalfinal__1_/76,"Feature about the history and aspects of typography, published in Xiao Hua.",
Small but Tall,11 2016,multimedia,Hong Kong,International Baccalaureate,Organisation/event,English,"Adobe Illustrator, Adobe InDesign, Adobe After Effects","Natalie Lin, Thomas Pei",sustainability,,Branding for sustainable mug initiative.,
Cold Noodles,11 2016,video,Hong Kong,International Baccalaureate,Assignment,English,Adobe Premiere Pro,"Tristan Wong, Gabriel Lee",family,https://www.youtube.com/watch?v=WaHYYt4wWuw,A silent film about a mother and son. Cinematographer.,
not a moment but a movement,11 2016,text,Hong Kong,International Baccalaureate,For myself,English,,,social justice,,,
It’s the Cliches that Cause the Trouble,01 2017,multimedia,Hong Kong,International Baccalaureate,Assignment,English,Google Slides,,"literature, fandom, digital culture",,Comparative analysis of the rhetorical use of clichés in Jeanette's Winterson's Written on the Body and the function of memes in digital culture.,
National Cinema: What Time Is It There?,03 2017,text,Hong Kong,International Baccalaureate,Assignment,English,,,"media, Chinese culture",,An analysis of Tsai Ming-liang's What Time Is It There?,
這些天,03 2017,text,Hong Kong,International Baccalaureate,For myself,Chinese (Mandarin),,,"mindfulness, nature",,,
Angles,04 2017,video,Hong Kong,International Baccalaureate,Assignment,English,Adobe Premiere Pro,"Gabriel Lee, Lauren Justice",mental health,,A social realist film about mental illness. Editor.,
20170516,05 2017,audio,Hong Kong,International Baccalaureate,For myself,,piano,,music,,,
An Adventure in Artificial Intelligence,06 2017,code,Hong Kong,International Baccalaureate,Assignment,English,Twine,various,technology,,Interactive fiction for young students exploring artificial intelligence.,
conjugation bifurcation,07 2017,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
Perfection in The Sound of Waves,08 2017,text,Hong Kong,International Baccalaureate,Assignment,English,,,literature,,Analysis of the theme of perfection in Yukio Mishima's The Sound of Waves.,
"really, incompetent",08 2017,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
Devflight,08 2017,digital,Hong Kong,International Baccalaureate,For a friend,English,"Adobe Illustrator, Adobe Photoshop",Oswin So,technology,,Branding for tech startup.,
Ursula,09 2017,video,Hong Kong,International Baccalaureate,Assignment,English,Adobe Premiere Pro,"Tiffany Ng, Jae Lamb",childhood,https://vimeo.com/220745972,Short film about a quirky girl. Cinematographer.,
Geometric Screensavers,10 2017,code,Hong Kong,International Baccalaureate,Assignment,English,Java,,visual art,https://github.com/whykatherine/geometric-screensaver,A minimalistic and satisfying desktop screensaver.,
"aching, grows, claws",10 2017,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
Palimpsest,10 2017,code,Hong Kong,International Baccalaureate,For myself,English,Processing,,visual art,https://github.com/whykatherine/palimpsest,An experimental typographical experiment that displays a palimpsest of all fonts on the system.,
The Burglary on Wayfind Lane,10 2017,text,Hong Kong,International Baccalaureate,For myself,English,,,"childhood, fantasy",,,
LGBTABC,11 2017,code,Hong Kong,International Baccalaureate,Organisation/event,English,HTML/CSS/JS,various,gender and sexuality,https://lgbtabc.surge.sh/,A digital terminology board of LGBT+ terms.,
Constructing Bézier Curves,11 2017,code,Hong Kong,International Baccalaureate,Assignment,English,Processing,,math/science,https://github.com/whykatherine/bezier,Tool to construct Bézier curves using de Casteljau's algorithm.,
My Density Has Brought Me to You,12 2017,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
Self Portrait,01 2018,digital,Hong Kong,International Baccalaureate,Assignment,English,Adobe Photoshop,,identity,,,
if you can reach,01 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
Scene Analysis: The Social Network,03 2018,text,Hong Kong,International Baccalaureate,Assignment,English,,,media,,Scene analysis from David Fincher's The Social Network.,
Fog,02 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,identity,,,
bright boy,02 2018,text,Hong Kong,International Baccalaureate,For myself,English,,,relationships,,,
To the Moon and Back,02 2018,video,Hong Kong,International Baccalaureate,Assignment,English,Adobe Premiere Pro,"Tiffany Ng, Jae Lamb",Chinese culture,https://vimeo.com/261700680,Thesis film about parallel narratives on Mid-Autumn Festival. Cinematographer & editor.,
